#PrimNb	EleBgn	EleEnd	X	Y	Z	AvChDen	AvAsgndChDen
1	1	1	-0.00024	0	1e-05	7.113553663578491e-07	0
2	2	2	-8e-05	0	1e-05	6.619926333039231e-07	0
3	3	3	8e-05	0	1e-05	6.619926332859045e-07	0
4	4	4	0.00024	0	1e-05	7.113553663649668e-07	0
5	5	5	0	0	0.003173	-9.376888188028025e-07	0
6	6	6	0	0	0.003183	-5.029737819122814e-07	0
7	7	7	-0.000315	0	1.85e-05	1.514736186141575e-05	0
8	8	8	-0.000165	0	1.85e-05	7.593079392976999e-06	0
9	9	9	-0.00024	0	2.7e-05	3.369266254345847e-05	0
10	10	10	-8e-05	0	2.7e-05	3.372315863218354e-05	0
11	11	11	8e-05	0	2.7e-05	3.372315863220279e-05	0
12	12	12	0.00024	0	2.7e-05	3.369266254345016e-05	0
13	13	13	-0.000155	0	1.85e-05	7.61951916999128e-06	0
14	14	14	-5e-06	0	1.85e-05	7.644284344151894e-06	0
15	15	15	5e-06	0	1.85e-05	7.644284344209274e-06	0
16	16	16	0.000155	0	1.85e-05	7.619519169938086e-06	0
17	17	17	0.000165	0	1.85e-05	7.593079393038642e-06	0
18	18	18	0.000315	0	1.85e-05	1.514736186138891e-05	0
19	19	19	-0.0002835	0	0.000164	-3.649129391700005e-05	0
20	20	20	-0.0002205	0	0.000164	-3.314929847442876e-05	0
21	21	21	-0.0001575	0	0.000164	-3.290748620707377e-05	0
22	22	22	-9.45e-05	0	0.000164	-3.285744681917815e-05	0
23	23	23	-3.15e-05	0	0.000164	-3.283004951421982e-05	0
24	24	24	3.15e-05	0	0.000164	-3.283004951426906e-05	0
25	25	25	9.45e-05	0	0.000164	-3.285744681918643e-05	0
26	26	26	0.0001575	0	0.000164	-3.29074862070724e-05	0
27	27	27	0.0002205	0	0.000164	-3.314929847442916e-05	0
28	28	28	0.0002835	0	0.000164	-3.64912939169874e-05	0
29	29	29	0	-0.0002835	0.000182	-3.774239269831037e-06	0
30	30	30	0	-0.0002205	0.000182	-3.418914746548399e-06	0
31	31	31	0	-0.0001575	0.000182	-3.394992920169482e-06	0
32	32	32	0	-9.45e-05	0.000182	-3.395672008708606e-06	0
33	33	33	0	-3.15e-05	0.000182	-3.39474359123298e-06	0
34	34	34	0	3.15e-05	0.000182	-3.394743591601109e-06	0
35	35	35	0	9.45e-05	0.000182	-3.395672008899959e-06	0
36	36	36	0	0.0001575	0.000182	-3.394992920158652e-06	0
37	37	37	0	0.0002205	0.000182	-3.418914746419609e-06	0
38	38	38	0	0.0002835	0.000182	-3.774239269818165e-06	0
